"","x"
"1","yaw_belt"
"2","gyros_belt_x"
"3","gyros_belt_y"
"4","gyros_belt_z"
"5","magnet_belt_x"
"6","magnet_belt_y"
"7","roll_arm"
"8","pitch_arm"
"9","yaw_arm"
"10","total_accel_arm"
"11","gyros_arm_y"
"12","gyros_arm_z"
"13","magnet_arm_x"
"14","magnet_arm_z"
"15","roll_dumbbell"
"16","pitch_dumbbell"
"17","yaw_dumbbell"
"18","total_accel_dumbbell"
"19","gyros_dumbbell_y"
"20","magnet_dumbbell_z"
"21","roll_forearm"
"22","pitch_forearm"
"23","yaw_forearm"
"24","total_accel_forearm"
"25","gyros_forearm_x"
"26","gyros_forearm_z"
"27","accel_forearm_x"
"28","accel_forearm_z"
"29","magnet_forearm_x"
"30","magnet_forearm_y"
"31","magnet_forearm_z"
"32","classe"
